author,title,description
Cynthia Lummis,,Cynthia Lummis is a Republican U.S. Representative from the state of Wyoming.
Michael Long,Conservative from New York,Mike Long is the chairman of the Conservative Party of New York State.
Bill de Blasio,Democrat from New York,"Bill de Blasio is the mayor of New York City. He has been mayor since 2014. De Blasio received a bachelor’s degree in metropolitan studies from New York University and a master’s degree in international affairs from Columbia University’s School of International and Public Affairs. In 2019, he announced he is running for the Democratic nomination for president."
Christopher Peace,Republican from Virginia,"Chris Peace, R-97th, began serving in Virginia's House of Delegates in 2006. The district spans parts of Hanover and King William counties and all of New Kent County. Peace, an attorney, serves on the General Laws, Appropriations and Health, Wefare and Institutions committees. Peace earned a bachelor's degree from Hampden-Sydney College, Hampden Sydney, in 1998 and a law degree from University of Richmond School of Law in 2002."
North Korean foreign ministry,,
Mary Nolan,Democrat from Oregon,Mary Nolan represents Southwest Portland in the Oregon House of Representatives. She has said she will run for a seat on the Portland City Council in 2012
Mayors Against Illegal Guns,,Mayors Against Illegal Guns describes itself as a coalition of U.S. mayors that works to help law enforcement target illegal guns.
Melissa Melendez,,California State Assemblywoman Melissa Melendez is a Republican and represents western Riverside County.
Alisha Thomas Morgan,Democrat from Georgia,"Alisha Thomas Morgan, a Democrat, was first elected to the Georgia House of Representatives in 2002, becoming the first African-American to be elected from a district solely in Cobb County. A graduate of Spelman College, she is running for Georgia's school superintendent."
Georgia Department of Economic Development,,"The Georgia Department of Economic Development plans,manages and mobilizes state resources to attract new business investment to Georgia, drive the expansion of existing industry and small business, locate new markets for Georgia products, inspire tourists to visit Georgia and promote the state as a top destination for arts events and film, music and digital entertainment projects."
Jim Durrett,,Jim Durrett is Board Chairman of the Metropolitan Atlanta Rapid Transit Authority.
Oregon Senate Republicans (The Leadership Fund),,
Texas Campaign for the Environment,None from Texas,Texas Campaign for the Environment describes itself as a grassroots group that envisions a Texas free of pollution.
Mike Huebsch,Republican from Wisconsin,"Mike Huebsch is a member of the Wisconsin Public Service Commission. He is a former secretary of Wisconsin's Department of Administration and former Republican member of the state Assembly, representing West Salem."
Jacky Rosen,Democrat from Nevada,Jacky Rosen is a Henderson synagogue leader and the Democratic candidate in Nevada's 3rd Congressional District.
JB Pritzker,Democrat from Illinois,"Jay Robert ""JB"" Pritzker is a Chicago venture capitalist and entrepreneur who is seeking the Democratic nomination for governor in the 2018 election."
Mike Romano,Democrat from West Virginia,Mike Romano is a Democratic state senator in West Virginia.
Amanda Fritz,,Amanda Fritz is a Portland city commissioner.
Robert Mujica,State official from New York,Robert Mujica is the Director of the State Division of Budget under Gov. Andrew M. Cuomo.
Tom Toles,,Tom Toles is the editorial cartoonist at the Washington Post. He won the Pultizer Prize for Editorial Cartooning in 1990.
YourNewsWire.com,The PolitiFact scorecard,A website associated with fake news.
Melvin Sickler,Organization from New Jersey,"Member, National Restaurant Association"
Maurice Ferre,Democrat from Florida,"Maurice Ferre served as mayor of Miami from 1973 to 1985. He campaigned for the U.S. Senate in 2010 and was defeated in the Democratic primary on Aug. 24, 2010."
Stokes County school teacher,None from North Carolina,His Facebook post went viral.
Providence City Council,,"The Providence City Council is the 15-member legislative body in Providence, R.I. Since 2010 it has consisted of all Democrats, including two women."
No Casinos,None from Florida,No Casinos is a group that opposes the expansion of gambling.
Bob Beckel,"Democrat from Washington, D.C.","Bob Beckel is a former Democratic consultant and current Fox News co-host of ""The Five."""
Michael Thurmond,Democrat from Georgia,
Marina Dimitrijevic,,"Marina Dimitrijevic is the director of the Wisconsin Working Families Party. She's also a Milwaukee County supervisor and previously served as chairwoman of the Milwaukee County Board of Supervisors. Voters elected her to a Milwaukee County supervisor's post in 2004; in 2012, her fellow supervisors elected her to lead the board. She was an unsuccessful candidate in the Aug. 12, 2014 Democratic primary for the 19th District seat in the state Assembly."
Mike Bodker,,Mike Bodker is mayor of Johns Creek.
Jeff Flake,Republican from Arizona,"Jeff Flake, a Republican, represents Arizona in the U.S. Senate. He was elected to the Senate in 2012, after serving in the U.S. House."
Carolyn Maloney,Democrat from New York,a Democratic member of the U.S. House of Representatives representing a district in New York.
Greg Morris,,"Greg Morris, a Republican, is a member of the Georgia House of Representatives. Born and raised in Vidalia, he communities in parts of Appling, Jeff Davis, Montgomery, and Toombs counties."
Michael Rosen,None from Wisconsin,Michael Rosen is an economics instructor at Milwaukee Area Technical College. He  is also president of the union representing MATC faculty and staff. He also is a blogger.
Nancy Jester,None from Georgia,Nancy Jester is a former member of the DeKalb County School Board
Robert DiMuccio,Newsmaker from Rhode Island,"Robert A. DiMuccio is chairman, president and chief executive officer of Amica Mutual Insurance Company. He joined the company in 1991.He serves as first vice chair of the Board of Governors of the Property Casualty Insurers (PCI) Association of America."
Vicki Shabo,,Vicki Shabo is the director of work and family programs at the National Partnership for Women and Families.
American Bridge 21st Century,,American Bridge 21st Century is a Democratic super PAC.
Amy Hanauer,None from Ohio,"Amy Hanauer is the founding executive director of Policy Matters Ohio, a policy research institute that examine issues that matter to working families in Ohio. Policy Matters Ohio was founded in January 2000. In 2008, Nation magazine named it the most valuable state or regional organization in the country."
Jennette Gayer,,Jennette Gayer is staff advocate for Environment Georgia
Jennifer Beck,,"Jennifer Beck is a New Jersey State Senator. A Republican, she represents parts of Monmouth County."
ForAmerica,,
Paul Babeu,,Paul Babeu has been Sheriff of Pinal County in Arizona since he was first elected in 2008.
Anna Kooiman,,Anna Kooiman is a co-host of Fox & Friends Weekend.
Keep Conservatives United,Republican from North Carolina,"Keep Conservatives United, a super-PAC favoring U.S. Rep. Michele Bachmann for president, says on its web site that it's an independent committtee to ""elect an honest conservative"" as president."
Randy Neugebauer,Republican from Texas,Rep. Randy Neugebauer represents the 19th District of Texas.
Nicholas Kristof,,Nicholas Kristof is a columnist for the New York Times who frequently writes about international development issues.
Ilhan Omar,,"Ilhan Omar is a Democratic congresswoman representing Minnesota's 5th congressional district, which includes parts of Minneapolis and surrounding municipalities."
